세부 페이지,RQ-ID,설계ID,기능이름,1Depth,2Depth,3Depth,기능설명,입력,예외처리
,,FS-EDU4-DETAIL-03,이수 완료 후 퀴즈 진입 버튼 활성화,,,퀴즈 진입,"- 이수 상태가 완료인 경우에만 “퀴즈 풀기” 버튼을 활성화한다.
 - 버튼 클릭 시 해당 과목에 대한 퀴즈 시작 화면으로 이동한다.","- 이수 상태(미이수/완료)
 - 과목코드",- 이수 상태를 가져오지 못하면 버튼을 비활성화하고 안내 툴팁(“이수 후 퀴즈 응시 가능”)을 표시.
내 부서 직무교육 목록,,FS-EDUD-LIST-01,내 부서 직무교육 목록 조회,,직무교육,목록 조회,"- 로그인한 사용자의 부서ID 기준으로 해당 부서 직무교육 목록을 조회한다.
 - 제목, 카테고리, 필수/선택 여부, 이수 상태를 리스트/카드로 보여준다.","- 사용자 부서ID
 - 직무교육 목록 API 응답","- 목록이 비어 있으면 “등록된 직무교육이 없습니다” 안내 표시.
 - API 오류 시 재시도 버튼 제공."
,,FS-EDUD-LIST-02,직무교육 목록 필터/검색/정렬,,,필터/검색,"- 카테고리/필수 여부/이수 상태 기준으로 필터링할 수 있다.
 - 최신 업데이트순/제목순 정렬 기능을 제공한다.","- 사용자가 선택한 필터 값(카테고리, 필수/선택, 이수 상태)
 - 정렬 옵션","- 조건에 맞는 데이터가 없으면 “해당 조건에 맞는 교육이 없습니다” 안내.
 - 필터 값이 잘못된 경우 기본값으로 되돌림."
,,FS-EDUD-LIST-03,직무교육 목록에서 상세 화면 이동,,,항목 클릭,"- 목록/카드 클릭 시 해당 직무교육의 상세/영상 재생 화면으로 이동한다.
 - 이동 시 training_id를 전달한다.","- 리스트 항목 클릭 이벤트
 - training_id","- 존재하지 않는 training_id 접근 시 목록 페이지로 리다이렉트.
 - 오류 내용을 로그로 기록."
직무교육 상세/재생,,FS-EDUD-DETAIL-01,직무교육 영상 상세/재생 화면 구성,,,상세/재생,"- 제목, 설명, 대상 부서, 필수/선택 여부, 영상 플레이어를 표시한다.
 - 이수 상태/이력도 함께 보여준다.","- 직무교육 메타데이터(제목, 설명, 부서, 필수 여부, 영상 URL)
 - 사용자 이수 이력","- 영상이 없는 경우 “영상이 등록되지 않았습니다” 안내.
 - 메타데이터 로딩 실패 시 상위 목록으로 되돌리기."
,,FS-EDUD-DETAIL-02,필수 직무교육 이수 처리,,,필수 이수 처리,"- 필수로 지정된 교육은 시청율 기준을 만족해야 이수 완료로 처리한다.
 - 완료된 경우 해당 필수 교육 이수 여부를 테이블에 기록한다.","- 플레이어 시청 이벤트
 - 필수 여부 플래그","- 이수 저장 실패 시 재시도/문의 안내 제공.
 - 중복 이수 요청은 무시."
,,FS-EDUD-DETAIL-03,선택 직무교육 시청 로그,,,선택 시청 로그,"- 선택 교육의 경우 이수 여부 대신 시청 시작/종료 시간을 로그로 남긴다.
 - 추후 교육 기획 시 인기/이용 빈도 분석에 활용한다.","- 플레이어 시청 이벤트
 - 교육 유형(선택)",- 로그 저장 실패는 사용자에게 알리지 않고 서버 로그에만 기록.
퀴즈 시작/선택,,FS-QUIZ-START-01,퀴즈 대상 교육 선택 화면,퀴즈,퀴즈 시작,교육 선택,"- 사용자가 어떤 교육(4대/직무) 퀴즈를 풀지 선택하는 리스트를 보여준다.
 - 이수 완료한 교육만 리스트에 노출하거나 표시를 구분한다.","- 사용자의 교육 이수 이력
 - 교육 목록(4대/직무)",- 이수 이력이 없는 교육 선택 시 퀴즈 진입을 막고 “해당 교육 이수 후 응시 가능” 안내.
,,FS-QUIZ-START-02,퀴즈 규칙/횟수 안내,,,규칙 안내,"- 최대 응시 횟수, 통과 기준 점수, 시간 제한(있을 경우)을 안내한다.
 - “시작하기” 버튼 클릭 시 실제 퀴즈 풀이 화면으로 이동한다.","- 사용자의 기존 응시 횟수
 - 퀴즈 설정(문항 수, 시간, 통과 기준)",- 이미 최대 응시 횟수를 초과한 경우 시작 버튼 비활성화 및 안내 문구 표시.
퀴즈 풀이,,FS-QUIZ-PLAY-01,문항 렌더링 및 페이지 이동,,퀴즈 풀이,문항 표시,- 한 화면에 1문항 또는 N문항씩 5지선다 형태로 표시한다.                                                                                                                                                                                                                                                ,"- 퀴즈 문항 데이터(문항ID, 질문, 보기 리스트)
 - 현재 문항 인덱스","- 문항 데이터 로딩 실패 시 재시도 버튼을 표시하고, 반복 실패 시 공통 오류 메시지와 함께 관리자 문의 안내를 띄운다.
- 잘못된 문항 인덱스 접근(범위 밖 인덱스 등) 시 가장 가까운 유효 인덱스로 보정하거나 첫 문항으로 이동하고, 비정상 접근 로그를 남긴다."
,,FS-QUIZ-PLAY-02,타이머 표시/시간 제한(선택 기능),,,타이머,"- 15분의 시간 제한이 설정되며 남은 시간을 화면에 표시한다.
- 시간이 만료되면 자동으로 제출 처리하거나 응시 종료 안내를 한다.","- 퀴즈 설정의 시간 제한 값
 - 타이머 상태","- 타이머 동기화 오류 시 약간의 오차는 허용하고 서버 기준 시간을 우선시한다.
- 시간 만료 시 추가 응답은 받지 않도록 차단."
,,FS-QUIZ-PLAY-03,응답 임시 저장,,,페이지 이동 금지,- 사용자의 페이지 이동을 금지한다.,,
,,FS-QUIZ-PLAY-04,퀴즈 풀이 중 페이지 이동 제어,,,페이지 이동 제어,"- 퀴즈 풀이 화면이 활성화된 동안에는 상단 메뉴, 좌측 메뉴, 새 채팅 카드 등 다른 화면으로 이동하는 내비게이션을 비활성화한다.
- 사용자가 브라우저 뒤로가기, 앱 내 라우트 변경 등으로 페이지를 벗어나려고 할 때 “퀴즈 풀이 중입니다. 페이지를 나가면 풀이가 종료되거나 제출됩니다. 계속하시겠습니까?” 확인 팝업을 띄운다.
- 사용자가 “계속 풀기”를 선택하면 현재 퀴즈 화면을 그대로 유지하고, “나가기”를 선택하면 설정된 정책에 따라 퀴즈를 자동 제출하거나 중단 처리한 뒤 원래 이동하려던 화면으로 이동한다.","- 현재 퀴즈 세션 상태(진행 중/제출 완료)
- 브라우저/앱 내비게이션 이벤트(라우트 변경, 뒤로가기 등)
- 퀴즈 설정의 이탈 처리 정책(자동 제출/단순 종료)","- 퀴즈 세션 상태를 확인할 수 없는 경우(네트워크 오류 등)에는 보수적으로 페이지 이동을 우선 차단하고 “지금 화면을 벗어나면 응시 내용이 저장되지 않을 수 있습니다.” 안내 후 사용자가 명시적으로 확인했을 때만 이동을 허용한다.
-  확인 팝업 렌더링 실패 또는 잘못된 상태 값이 들어온 경우, 페이지 이동을 차단하고 공통 오류 토스트를 띄운 뒤 로그로 남긴다."
,,FS-QUIZ-PLAY-05,퀴즈 응시 중 탭/창 이탈 감지 및 경고,,,이탈 감지/경고,"- 퀴즈 풀이 화면이 활성화된 동안 브라우저 탭/창이 비활성화되거나 다른 페이지로 전환되는 이벤트(visibilitychange, blur/focus 등)를 감지하여 '이탈'로 카운트한다.
- 사용자가 퀴즈 풀이 중 다른 탭/창으로 이동했다가 다시 돌아오면, 화면 상단 또는 모달로 “퀴즈 응시 중 다른 화면으로 이동한 기록이 있습니다. 집중해서 응시해 주세요.”와 같은 경고 메시지를 1회 이상 노출한다.
- 이탈 횟수가 설정된 기준(예: 3회)을 초과하면, 추가 경고 메시지(“이탈이 여러 번 감지되었습니다. 반복 시 응시 결과가 무효 처리될 수 있습니다.” 등)를 띄우고, 해당 정보를 퀴즈 응시 로그에 함께 기록한다.
- 이 기능은 실제로 다른 서비스나 AI 사용을 차단하기보다는, 이탈 시점을 감지하고 안내·로그로 남기는 것을 목표로 한다.","- 현재 퀴즈 세션 상태(진행 중/종료)
- 브라우저 이벤트(visibilitychange, blur/focus 등)
- 이탈 기준 설정 값(허용 이탈 횟수, 경고 노출 기준 등)","- 브라우저 보안 정책 또는 환경에 따라 일부 이벤트(탭 전환, 창 최소화 등)가 감지되지 않을 수 있으며, 이 경우에도 퀴즈 풀이 자체는 정상 진행되도록 한다.
- 이벤트 감지 스크립트 오류 시 이탈 감지 기능만 비활성화되고, 퀴즈 풀이/제출 기능에는 영향을 주지 않는다.
- 이탈 감지 중 오류가 발생해도 사용자에게 과도한 경고를 반복해서 보여주지 않도록, 동일 세션 내 경고 노출 횟수를 제한한다."
